docid,source_url,status,raw_act_path,raw_text_sha256,note
TRJAjBS3H41P,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_TRJAjBS3H41P.txt,40ff42ca12f2169ee1325078ce74d90cc8b3719346103ab0987e9ef1fe5fbcfd,art28_delay
UeHswTmOk86R,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_UeHswTmOk86R.txt,ae1bfb722735df74baf79d7365a61d3b7fc13b2df5e60ad855c96f1922df69be,art29_remont
Uy8lx0YDsSrb,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_Uy8lx0YDsSrb.txt,d1477cbb76fc5feae16ff056451a7e2d254f21f9b9e2fba2a10716a679398aec,"art29_mebel,art29_okna"
VecjISqulAda,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_VecjISqulAda.txt,37750dc601c4cd666cf2c9d7000d44142f44fd6228c56ecbb65dbe9ea891a116,"art29_mebel,art29_okna"
VnTwgt4w6NgC,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_VnTwgt4w6NgC.txt,c133d514a4f7398a239fb8838d8128792a60fc2ccc1cb81035be7b40cca84c46,art29_okna
bZcjnQhwIsW,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_bZcjnQhwIsW.txt,eb2662b73ef3fc07d95d23fee7a08dbf78da121de8a2b7b7ea39c6ea3d4ebc75,"art28_delay,art29_mebel,art29_okna,art29_remont"
c6j46it4lXNa,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_c6j46it4lXNa.txt,7b4d64b484d7063e6f42afb8de32bf8c08b0886b72cd988a4068c72f2c165b79,art29_remont
cYIZ3teqSbQR,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_cYIZ3teqSbQR.txt,beea2d3fffb9987343c0c9cc4c144073cca3134c6535461c62a250fe6fca9f3f,art29_remont
d365WK1SnXL8,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_d365WK1SnXL8.txt,4e3043da2a7cbb5a32efcb6f46b8a3429fb9e1fd3484d759dcd97d7fa0078fbc,art29_mebel
dDvjXR3GKwxb,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_dDvjXR3GKwxb.txt,5bff9301e00f6b4cca407e936f543ba5c386409632a1a9b7cea5b15db2ceaa99,"art23_1_prepaid,art28_delay"
dYBTtWFaWtQa,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_dYBTtWFaWtQa.txt,a724f60ca6ed7976b8658a85ad03fe817227507c7feb676f96e4813f567f779f,"art29_okna,art29_remont"
dZLatipIdmJQ,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_dZLatipIdmJQ.txt,68f4a17ae4c61128b3592fd2db6aa1c32e6b237d9dc43b41a0b2215215a26a2a,"art28_delay,art29_mebel,art29_okna"
e5iaAholP0WW,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_e5iaAholP0WW.txt,1496d930ae2774fd0222190ed89772443a6a9cf1716a0f2ddceeea01606368c2,art29_remont
ejYcqIsTl36v,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_ejYcqIsTl36v.txt,dcc0f90831a98e8939bbfad709f0aa231ee7eb0bdc737bb50416405c045218ea,art28_delay
fiXHEle8cxrH,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_fiXHEle8cxrH.txt,7ae66c01553b93f9697bb81ad1e4224b4d26f5146d158a1281661ee7dc3512f0,art29_remont
fnpHqXEsViQX,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_fnpHqXEsViQX.txt,3e2b3095a2d452e3673bf44477db63f900d2c7004239e636e69275dd180d602c,art29_remont
h9EcvY10CpWN,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_h9EcvY10CpWN.txt,de112ac022c1ba0a961700bef31234e78209260a5927f98d38221d9b9304054b,art29_mebel
hMcw9OheUtdC,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_hMcw9OheUtdC.txt,01cab4913292e51cee2570f35b65162ee5179ad51030aa482110792a7cceffe6,"art28_delay,art29_okna"
