docid,url,domain,title,passage
wnrZsOjKQVWt,https://sudact.ru/regular/doc/wnrZsOjKQVWt/,sudact.ru,Решение № 2-1114/2020 2-1114/2020(2-8079/2019...) :: СудАкт.ру,"Истец обратился в суд с иском к ответчику ПАО ""Мобильные ТелеСистемы"" о защите прав потребителя, в котором просил признать обязательство истца перед ответчиком в размере 252056,72 руб. отсутствующим, обязать ответчика произвести возврат денежных средств в размере 2813,28 руб. на лицевой счет телефонного номера истца, взыскать с ответчика компенсацию морального вреда в размере 50 000 руб."
12ENIh1cxpZo,https://sudact.ru/regular/doc/12ENIh1cxpZo/,sudact.ru,Решение № 2-8309/2025 2-8309/2025~М0-6183/2025... :: СудАкт.ру,"Статьей 18 Закона «О защите прав потребителей» предусмотрено, что в отношении технически сложного товара потребитель в случае обнаружения в нем недостатков вправе: потребовать незамедлительного безвозмездного устранения недостатков товара или возмещения расходов на их исправление потребителем или третьим лицом; отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за такой товар суммы либо предъявить требование о его замене на товар этой же марки."
SpPjP40Ege5v,https://sudact.ru/regular/doc/SpPjP40Ege5v/,sudact.ru,Решение № 2-2168/2024 2-2168/2024~М-9515/2023... :: СудАкт.ру,"Относительно требований истца о взыскании неустойки за нарушение срока передачи предварительно оплаченного товара (ноутбука) суд указывает следующее. Согласно ст. 23.1 Закона Российской Федерации «О защите прав потребителей» договор купли-продажи, предусматривающий обязанность потребителя предварительно оплатить товар, должен содержать условие о сроке передачи товара потребителю. В случае нарушения установленного договором купли-продажи срока передачи предварительно..."
liPGLMvRZRoO,https://sudact.ru/regular/doc/liPGLMvRZRoO/,sudact.ru,Решение № 2-1925/2018 от 16 октября 2018 г. по делу... :: СудАкт.ру,"Однако ответчик ФИО2 вводит своих клиентов в заблуждение относительно своего официального статуса представителя международного стандарта «Long-Time-Liner» в России, а услуга платного обучения, оказывается ответчиком незаконно, с нарушениями требований ФЗ «О защите прав потребителей» и ФЗ «Об образовании в Российской Федерации»."
rrObAHc2FOxm,https://sudact.ru/regular/doc/rrObAHc2FOxm/,sudact.ru,Решение № 2-6249/2017 2-6249/2017~М0-5369/2017... :: СудАкт.ру,"Средняя рыночная стоимость аналогичного пылесоса DYSON DC52 Animal Complete составит 49994 рубля (л.д.16-30). Ст. 18 Закона «О защите прав потребителей» предусматривает, что потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, вправе по своему выбору потребовать защиты своих прав. В отношении технически сложного товара потребитель в случае обнаружения в нем недостатков вправе отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за такой..."
KuGAOhWI77Ni,https://sudact.ru/regular/doc/KuGAOhWI77Ni/,sudact.ru,Решение № 2-1542/2020 2-1542/2020~М-56/2020... :: СудАкт.ру,"Кроме того, суд находит обоснованным требование ФИО1 о взыскании неустойки за просрочку гарантийного ремонта и за неудовлетворение требований о возврате денежных средств, поскольку статья 22 Закона о защите прав потребителей предусматривает, что требования потребителя о соразмерном уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара потребителем или третьим лицом, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков"
TvwZY0A9N0VC,https://sudact.ru/regular/doc/TvwZY0A9N0VC/,sudact.ru,Решение № 2-1381/2019 2-179/2020 2-179/2020... :: СудАкт.ру,"В силу п. 45 Постановления Пленума Верховного Суда РФ от 26.06.2012 N 17 ""О рассмотрении судами гражданских дел по спорам о защите прав потребителей"" при решении судом вопроса о компенсации потребителю морального вреда достаточным условием для удовлетворения иска является установленный факт нарушения прав потребителя. Принимая во внимание, что факт нарушения ответчиком прав и законных интересов истца в области защиты прав потребителя установлен и не требует дополнительных доказательств, суд..."
p5dNvnKFcEru,https://sudact.ru/regular/doc/p5dNvnKFcEru/,sudact.ru,Решение № 2-3271/2020 2-3271/2020~М0-2185/2020... :: СудАкт.ру,"В соответствии с ч. 1 ст. 18 ФЗ РФ «О защите прав потребителей» потребитель в отношении технически сложного товара в случае обнаружения в нем недостатков вправе отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за такой товар суммы либо предъявить требование о его замене на товар этой же марки (модели, артикула) или на такой же товар другой марки (модели, артикула) с."
ZLwdZCW9EtVP,https://sudact.ru/regular/doc/ZLwdZCW9EtVP/,sudact.ru,Решение № 2-5067/2025 2-5067/2025~М-4334/2025... :: СудАкт.ру,"Поскольку подключение земельного участка ФИО5. к электроснабжению было необходимо для проживания в жилом доме, несвоевременным исполнением ответчиком условий договора нарушены права истца как потребителя, суд, руководствуясь ст. 15 Закона РФ «О защите прав потребителей», присуждает истцу компенсацию морального вреда в размере 3 000 руб. | В силу ч.1 ст. 395 ГК РФ в случаях неправомерного удержания денежных средств, уклонения от их возврата, иной просрочки в их уплате подлежат уплате проценты на сумму долга."
xWGVwR38DWrZ,https://sudact.ru/regular/doc/xWGVwR38DWrZ/,sudact.ru,Решение № 2-190/2019 2-190/2019~М-147/2019... :: СудАкт.ру,"В соответствии со ст.4 Закона РФ от 07.02.1992г. № 2300-1 ""О защите прав потребителей"", продавец (исполнитель) обязан передать потребителю товар (выполнить работу, оказать услугу), качество которого соответствует договору. Согласно ст.18 Закона РФ ""О защите прав потребителей"", потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, по своему выбору вправе: отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы."
NvzAU8q3S55O,https://sudact.ru/regular/doc/NvzAU8q3S55O/,sudact.ru,Решение № 2-200/2020 2-200/2021 2-200/2021... :: СудАкт.ру,"Как следует из разъяснений, содержащихся в пункте 5 Постановления Пленума Верховного Суда Российской Федерации от 28 июня 2012 г. № 17 «О рассмотрении судами гражданских дел по спорам о защите прав потребителей», законодательство о защите прав потребителей распространяется и на отношения по приобретению товаров (работ, услуг) по возмездному договору, если цена в таком договоре не указана."
pd6Hnfvbcg5X,https://sudact.ru/regular/doc/pd6Hnfvbcg5X/,sudact.ru,Решение № 2-3294/2019 2-38/2020 2-38/2020... :: СудАкт.ру,В соответствии со статьей 503 ГК РФ и абзацем восьмым пункта 1 статьи 18 Закона РФ «О защите прав потребителей» в отношении технически сложного товара покупатель вправе потребовать его замены или отказаться от исполнения договора розничной купли-продажи и потребовать возврата уплаченной за товар суммы в случае существенного нарушения требований к его качеству (ч. 2 ст. 475). Согласно ч.2 ст. 475 ГК РФ и абзацу восьмому Закона о защите прав потребителей существенными нарушениями требований к качеству...
xlNrOZvTsu6J,https://sudact.ru/regular/doc/xlNrOZvTsu6J/,sudact.ru,Решение № 2-1089/2023 2-1089/2023~М-916/2023... :: СудАкт.ру,"Следовательно, к возникшим между ФИО1 и ООО «ДФМ» правоотношениям подлежат применению положения Закона Российской Федерации от 7 февраля 1992 года №2300-1 «О защите прав потребителей» (далее по тексту - Закон о защите прав потребителя). Право на отказ потребителя от исполнения договора о выполнении работ (оказания услуг) в любое время при условии оплаты исполнителю фактически понесенных им расходов, связанных с исполнением обязательств по договору, предусмотрено статье 32 Закона РФ «О..."
Tm9uZuaq6XQj,https://sudact.ru/regular/doc/Tm9uZuaq6XQj/,sudact.ru,Решение № 2-2171/2019 2-98/2020 2-98/2020... :: СудАкт.ру,"Статьей 4 Закона «О защите прав потребителей» предусмотрено, что продавец (исполнитель) обязан передать потребителю товар (выполнить работу, оказать услугу), качество которого соответствует договору. При отсутствии в договоре условий о качестве товара (работы, услуги) продавец (исполнитель) обязан передать потребителю товар (выполнить работу, оказать услугу), соответствующий обычно предъявляемым требованиям и пригодный для целей, для которых товар (работа, услуга) такого рода обычно используется."
peq1VhDNsb1O,https://sudact.ru/regular/doc/peq1VhDNsb1O/,sudact.ru,Решение № 2-164/2020 2-164/2020(2-2102/2019...) :: СудАкт.ру,"В соответствии со ст. 22 Закона РФ от 7 февраля 1992 года № 2300-1 «О защите прав потребителей» требования потребителя о соразмерном уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара потребителем или третьим лицом, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, причиненных потребителю вследствие продажи товара ненадлежащего качества либо предоставления ненадлежащей информации о товаре, подлежат."
