docid,source_url,status,raw_act_path,raw_text_sha256,note
wnrZsOjKQVWt,https://sudact.ru/regular/doc/wnrZsOjKQVWt/,fetched,data/raw_acts/act_wnrZsOjKQVWt.txt,c6071e5449324a63caec8fe3e89021d47ec4795a1d584f37148055e30e637454,
12ENIh1cxpZo,https://sudact.ru/regular/doc/12ENIh1cxpZo/,fetched,data/raw_acts/act_12ENIh1cxpZo.txt,ec9ef70f3fceed2b37f0431b551359f685d958047053983cceb52e4153b3722c,
SpPjP40Ege5v,https://sudact.ru/regular/doc/SpPjP40Ege5v/,fetched,data/raw_acts/act_SpPjP40Ege5v.txt,c77136f2294f8c1f96c9979a653c88962a72ed1023667cf748d013b1d8cf5a72,
liPGLMvRZRoO,https://sudact.ru/regular/doc/liPGLMvRZRoO/,fetched,data/raw_acts/act_liPGLMvRZRoO.txt,50e5d83a6cd25f000a454f0daf6bcb29c18f0418758ef189606497a32dcadce0,
rrObAHc2FOxm,https://sudact.ru/regular/doc/rrObAHc2FOxm/,fetched,data/raw_acts/act_rrObAHc2FOxm.txt,0c38b3a66174f78bd657011669fa6e76867bb61647fc0a3f22c13d2d6069a5fa,
KuGAOhWI77Ni,https://sudact.ru/regular/doc/KuGAOhWI77Ni/,fetched,data/raw_acts/act_KuGAOhWI77Ni.txt,189edcaea0aa3103abeda9215c39ab096ac1cef8e90b33dbb35636d2f95cfccd,
TvwZY0A9N0VC,https://sudact.ru/regular/doc/TvwZY0A9N0VC/,fetched,data/raw_acts/act_TvwZY0A9N0VC.txt,795232d6f8098ee82b353a11a7719faad76d82f9706f4e89f4d68693d5c09bb2,
p5dNvnKFcEru,https://sudact.ru/regular/doc/p5dNvnKFcEru/,fetched,data/raw_acts/act_p5dNvnKFcEru.txt,67e401532e52209dab1f3b9094a38658f399f393b0de0521784b2c80a9fee13e,
ZLwdZCW9EtVP,https://sudact.ru/regular/doc/ZLwdZCW9EtVP/,fetched,data/raw_acts/act_ZLwdZCW9EtVP.txt,52b0277c05cd20119de847fe19362b96a8ecc74577d0f86f9f7699dbc15c5244,
xWGVwR38DWrZ,https://sudact.ru/regular/doc/xWGVwR38DWrZ/,fetched,data/raw_acts/act_xWGVwR38DWrZ.txt,f9c72be16e5d5c4953d217b76d2ac79b736652ecb017be66286302b2c186fadf,
NvzAU8q3S55O,https://sudact.ru/regular/doc/NvzAU8q3S55O/,fetched,data/raw_acts/act_NvzAU8q3S55O.txt,c08acba2c76795bf5f1045afa5e2e19cf92a640410c26120caa1b432a85b3d44,
pd6Hnfvbcg5X,https://sudact.ru/regular/doc/pd6Hnfvbcg5X/,fetched,data/raw_acts/act_pd6Hnfvbcg5X.txt,ddb18ebb00ab183678a62f9e735bc52774b09cfb03080630d0b3f97f86c1cf80,
xlNrOZvTsu6J,https://sudact.ru/regular/doc/xlNrOZvTsu6J/,fetched,data/raw_acts/act_xlNrOZvTsu6J.txt,9ded2ecb636e91a5e84f50736047b2dd5eda7e76fc94433c5c0a90be4d1d12f3,
Tm9uZuaq6XQj,https://sudact.ru/regular/doc/Tm9uZuaq6XQj/,fetched,data/raw_acts/act_Tm9uZuaq6XQj.txt,6554e95b42bcf1a1e98635b3a73eb5d0343701d369e1d55bb28707dff46547b0,
peq1VhDNsb1O,https://sudact.ru/regular/doc/peq1VhDNsb1O/,fetched,data/raw_acts/act_peq1VhDNsb1O.txt,2ba2a39646db1529d7ce51516fd3fcb6e4fe60f571726f6693dfa58300d656cb,
eqUu93zC5GNu,https://sudact.ru/regular/doc/eqUu93zC5GNu/,fetched,data/raw_acts/act_eqUu93zC5GNu.txt,d41dfd823c4d5dcfb101130ab89e9e1232d26aba1f6a539b40b7188f35f6244a,
z7Um8Ca4AObr,https://sudact.ru/regular/doc/z7Um8Ca4AObr/,fetched,data/raw_acts/act_z7Um8Ca4AObr.txt,90fe1f2b1f5fdb8ebce7761917359f17c32d5e5f27b3eb8931c589e91a83c84b,
7vWNcdOdS8gA,https://sudact.ru/regular/doc/7vWNcdOdS8gA/,fetched,data/raw_acts/act_7vWNcdOdS8gA.txt,78440bd7849ed82422fc6689cc44ae448596ce109f2c2d4a850ac70ed8f70120,
rKmI5OOWpf6B,https://sudact.ru/regular/doc/rKmI5OOWpf6B/,fetched,data/raw_acts/act_rKmI5OOWpf6B.txt,8c12e9f71d23c2c049f2b210e09be2b048c00edb4f42d18b265dbf74ec896491,
7ltNyhBxj85V,https://sudact.ru/regular/doc/7ltNyhBxj85V/,fetched,data/raw_acts/act_7ltNyhBxj85V.txt,9833c8e7cd50151d64a7d110f1c3137e282063a434ca866df17274d5bccf9b72,
tLtz253BMqLq,https://sudact.ru/regular/doc/tLtz253BMqLq/,fetched,data/raw_acts/act_tLtz253BMqLq.txt,073fa3c719fe2a18265959be523b0eccc3488f2173ce78f407eb69ad78366aab,
43XAPWx3KQZV,https://sudact.ru/regular/doc/43XAPWx3KQZV/,fetched,data/raw_acts/act_43XAPWx3KQZV.txt,2543b67d93faa83d1f2537f4f7654fad55e0ff8266f95ac473c730585fe67172,
sGlfWIMtuBLu,https://sudact.ru/regular/doc/sGlfWIMtuBLu/,fetched,data/raw_acts/act_sGlfWIMtuBLu.txt,8b24cc541376a5035cbd280ea52b34e9c55bbcabc559281e5c7d9bcbf87605cb,
TekGuuE2erbs,https://sudact.ru/regular/doc/TekGuuE2erbs/,fetched,data/raw_acts/act_TekGuuE2erbs.txt,edaf420b8923d0fbd73135fd74f97e2aeb8c782f931f040653d9dfb23989bc60,
eqW9CQxuKMl5,https://sudact.ru/regular/doc/eqW9CQxuKMl5/,fetched,data/raw_acts/act_eqW9CQxuKMl5.txt,a08a2e582726e9568e4db616cd3b97c0d39fe6e3b95e960a11ca1a9b01e15424,
fvpw4sbQxPWi,https://sudact.ru/regular/doc/fvpw4sbQxPWi/,fetched,data/raw_acts/act_fvpw4sbQxPWi.txt,607d28203906ff93e7da46229af2c14cbf738bde5a3829809e03082aed61d381,
qtC0iQLRs9LE,https://sudact.ru/regular/doc/qtC0iQLRs9LE/,fetched,data/raw_acts/act_qtC0iQLRs9LE.txt,6cf45a396fc8caf66958713bf83e1435ad2fdb872daf215fa0947b6060b9a985,
uivLG43dcYu,https://sudact.ru/regular/doc/uivLG43dcYu/,fetched,data/raw_acts/act_uivLG43dcYu.txt,471f37fcd3ee2442c02425be52d73d666ff8129a67ea684effb70c4f04c01ca9,
YFdU4opnt3Za,https://sudact.ru/regular/doc/YFdU4opnt3Za/,fetched,data/raw_acts/act_YFdU4opnt3Za.txt,04c536d3b1094e147c77f2f6f4691cc3517a63a0f835cbbfa58b46b5929c58b7,
MBFBIl2vHb6V,https://sudact.ru/regular/doc/MBFBIl2vHb6V/,fetched,data/raw_acts/act_MBFBIl2vHb6V.txt,ee7a8d0403c22295b538f6b5151c6f79249345ec46d4c534b6425333ab85c016,
fbw72y4yhlbV,https://sudact.ru/regular/doc/fbw72y4yhlbV/,fetched,data/raw_acts/act_fbw72y4yhlbV.txt,c26eeba8734d0df79b85019729fd9fef47de0562c862b57d5790687e9833b612,
fZ0mM6NxYymT,https://sudact.ru/regular/doc/fZ0mM6NxYymT/,fetched,data/raw_acts/act_fZ0mM6NxYymT.txt,801a0f10e18e5b148e82f42ddfa8665f89affad2a0daa1727b137c7d5cec81d0,
qcd6WnkhMFYB,https://sudact.ru/regular/doc/qcd6WnkhMFYB/,fetched,data/raw_acts/act_qcd6WnkhMFYB.txt,dcc9fe7b5ba31681951e9624fc72810af0511e4a4e7f888361ea52624e772e75,
NRzixFhvO8Ul,https://sudact.ru/regular/doc/NRzixFhvO8Ul/,fetched,data/raw_acts/act_NRzixFhvO8Ul.txt,37b3b093e25ff9d48e45dcd8a76dedf668a52b5f84c2631a363ccc4122ffdf4c,
sSeSgJAISkgt,https://sudact.ru/regular/doc/sSeSgJAISkgt/,fetched,data/raw_acts/act_sSeSgJAISkgt.txt,8e160b38958d430b9522291db2875fdfe116517182d47333242c2ee185270a58,
LZW79ndNKBgR,https://sudact.ru/regular/doc/LZW79ndNKBgR/,fetched,data/raw_acts/act_LZW79ndNKBgR.txt,cd08284c54a20517a628d2fd5f44faa65883c44f4a40d0fd3e264cf7cff37476,
