docid,source_url,status,raw_act_path,raw_text_sha256,note
QWaAvZwe4Qx5,https://sudact.ru/regular/doc/QWaAvZwe4Qx5/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_QWaAvZwe4Qx5.txt,29f0d6ed7bc31169f9eb9c9ae317d062cf38a7d59087043b7d76a72009754979,
jOo3LEgnEbQZ,https://sudact.ru/regular/doc/jOo3LEgnEbQZ/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_jOo3LEgnEbQZ.txt,37b0e47d91a35e30e6b740207d8f93da8d25bc915bb32aa7a8808b7f8f3f3cc2,
sXOzeo6TOBl,https://sudact.ru/regular/doc/sXOzeo6TOBl/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_sXOzeo6TOBl.txt,06002577324e54ddfc96e8fe932097b938ed64336c144b867398bf5957983614,
4lxVIPUNKglJ,https://sudact.ru/regular/doc/4lxVIPUNKglJ/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_4lxVIPUNKglJ.txt,5bbf48a993b72c9c8d1159e271fbe7f36d95b9f60a22fe8c5b59e6e7fd11a218,
wcc2Nwwl3n6V,https://sudact.ru/regular/doc/wcc2Nwwl3n6V/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_wcc2Nwwl3n6V.txt,fad644e8958826d7d56cdc63f7447cab68f145fd5d9eb187bbdc36e0e68f46f7,
9xqNlIbQlyxm,https://sudact.ru/regular/doc/9xqNlIbQlyxm/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_9xqNlIbQlyxm.txt,5badf5d26cea0e2a1bb5cfd6cbd6fa4df74e94b60ea144494f2c692f3b106368,
K5LBBWYaIFUW,https://sudact.ru/regular/doc/K5LBBWYaIFUW/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_K5LBBWYaIFUW.txt,a6f9feb23f159de85000529d080d744975c619775e0d19b71365e52afb49f72c,
6OMEZDw1B3l4,https://sudact.ru/regular/doc/6OMEZDw1B3l4/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_6OMEZDw1B3l4.txt,98257b60ff9e890ab6b0801299681c78415055fc177763b7f9734c5f77e3d957,
ea0SgeM6fU6h,https://sudact.ru/regular/doc/ea0SgeM6fU6h/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_ea0SgeM6fU6h.txt,62227f72a33f77a78c27adbc4c2cb49be5210bc409556456134311fcce4f9eb9,
1RxwxVY6Q3YQ,https://sudact.ru/regular/doc/1RxwxVY6Q3YQ/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_1RxwxVY6Q3YQ.txt,1d173e1df8afb3184f170d2f6f3f0bcc32bdb23e004d375fc8014412fa461813,
q0Zr7E4oBOWH,https://sudact.ru/regular/doc/q0Zr7E4oBOWH/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_q0Zr7E4oBOWH.txt,0551b9b491b3a8eb3cf8ad60fb33b45d508d616ce271165ecc0bb129e9c0f762,
IGatj9CndNrz,https://sudact.ru/regular/doc/IGatj9CndNrz/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_IGatj9CndNrz.txt,208fbbc598648ad043ce436cf213d2af1de1dc5860729a149fab48fc6e0ced92,
17KhMs8uDxmn,https://sudact.ru/regular/doc/17KhMs8uDxmn/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_17KhMs8uDxmn.txt,fa4c086e57716fdc7bd96ca74979efaf68e1d0626278689369eed4910854a291,
UMSVHkiyiN6Q,https://sudact.ru/regular/doc/UMSVHkiyiN6Q/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_UMSVHkiyiN6Q.txt,677d720117fb6caf0cdf9429af082644795d9407ae6129ec4a1bb7610834f7b2,
bgSVj285E3ZP,https://sudact.ru/regular/doc/bgSVj285E3ZP/,fetch_error,,,
C9SrxQGQwsxa,https://sudact.ru/regular/doc/C9SrxQGQwsxa/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_C9SrxQGQwsxa.txt,9c537897ffcbe7c2830dd7d784754cf428091aceab91c7883b8e5647b05e76f5,
eNap3egF8yYP,https://sudact.ru/regular/doc/eNap3egF8yYP/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_eNap3egF8yYP.txt,5e4e05e589c12aebd77be86d6ba3a5060af7a82bfa18132466572f9f96b41fa4,
2CFuVIPm27d0,https://sudact.ru/regular/doc/2CFuVIPm27d0/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_2CFuVIPm27d0.txt,70f1fae63e4dbd0570c24df9da827e261865acccf79c67be4a92055fc4baa7ca,
TDpRFW3KQ4xW,https://sudact.ru/regular/doc/TDpRFW3KQ4xW/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_TDpRFW3KQ4xW.txt,66583b004a66738da2280ef34710c623cbbb3095ccd6eb4124a8d130ffd9e42b,
rzLiynLmxaxN,https://sudact.ru/regular/doc/rzLiynLmxaxN/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_rzLiynLmxaxN.txt,298094829ddb71c5ac9a04182275791c6b186786da6dac65c3713d9ede9fe17e,
