docid,url,domain,title,passage
T7JnMha7wd1l,https://sudact.ru/regular/doc/T7JnMha7wd1l/,sudact.ru,Решение № 2-1259/2020 2-1259/2020~М-729/2020 М-729/2020 от 28...,"В договоре о выполнении работ (оказании услуг) может предусматриваться срок выполнения работы (оказания услуги), если указанными правилами он не предусмотрен, а также срок меньшей продолжительности, чем срок, установленный указанными правилами. Последствия нарушения исполнителем сроков выполнения работы (оказания услуги) прописаны законодателем в ст. 28 поименованного выше Закона."
df0QBtIxrbYt,https://sudact.ru/regular/doc/df0QBtIxrbYt/,sudact.ru,Решение № 2-2916/2025 2-2916/2025~М-2446/2025... :: СудАкт.ру,"Согласно ч. 5 ст. 28 Закона РФ от <дата обезличена><номер обезличен> «О защите прав потребителей», в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги)."
xljcgUano8Ys,https://sudact.ru/regular/doc/xljcgUano8Ys/,sudact.ru,Решение № 2-2260/2020 2-2260/2020~М-2509/2020... :: СудАкт.ру,"Согласно ч. 5 ст. 28 Закона РФ «О защите прав потребителей» в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения работы (оказания. услуги) договором о выполнении работ..."
