docid,url,domain,title,passage
F4tgfJ83SDl1,https://sudact.ru/regular/doc/F4tgfJ83SDl1/,sudact.ru,Решение № 2-484/2023 2-484/2023~М-429/2023 М-429/2023 от 12...,"Согласно статье 4 Закона о защите прав потребителей продавец (исполнитель) обязан передать потребителю товар (выполнить работу, оказать услугу), качество которого соответствует договору. | Информация о товарах (работах, услугах) в соответствии с п. 2 ст. 8 закона «О защите прав потребителей» должна доводиться до сведения потребителя в наглядной и доступной форме в объеме, указанном в п. 2 ст. 10 закона."
QsoUZnTzldHU,https://sudact.ru/regular/doc/QsoUZnTzldHU/,sudact.ru,Решение № 2-2251/2019 2-53/2020 2-53/2020... :: СудАкт.ру,"Положениями статей 8, 10 Закона РФ ""О защите прав потребителей"" статьями 8, 10 Закона Российской Федерации от 7 февраля 1992 года N 2300-1 ""О защите прав потребителей"" предусмотрена обязанность исполнителя предоставлять потребителю необходимую и достоверную информацию об услугах, обеспечивающую возможность их правильного выбора. Согласно п. 4 ст. 12 Закона РФ ""О защите прав потребителей"" при рассмотрении требований потребителя о возмещении убытков, причиненных недостоверной или..."
qING46DO7tmN,https://sudact.ru/regular/doc/qING46DO7tmN/,sudact.ru,Решение № 2-1404/2020 2-1404/2020~М-4783/2019... :: СудАкт.ру,"Согласно части 2 статьи 12 Закона РФ «О защите прав потребителей» продавец (исполнитель), не предоставивший покупателю полной и достоверной информации о товаре (работе, услуге), несет ответственность, предусмотренную пунктами 1 - 4 статьи 18 или пунктом 1 статьи 29 настоящего Закона, за недостатки товара (работы, услуги), возникшие после его передачи потребителю вследствие отсутствия у него такой информации."
P4XHDMeet1NZ,https://sudact.ru/regular/doc/P4XHDMeet1NZ/,sudact.ru,Решение № 2-2697/2018 от 9 сентября 2018 г. по делу... :: СудАкт.ру,"Статьей 10 Федерального закона от 07.02.1992 года N 2300-1 ""О защите прав потребителей"" предусмотрено, что исполнитель обязан своевременно предоставлять потребителю необходимую и достоверную информацию об услугах, обеспечивающую возможность их правильного выбора. По отдельным видам товаров (работ, услуг) перечень и способы доведения информации до потребителя устанавливаются Правительством Российской Федерации."
6zydJ9jGUgoa,https://sudact.ru/regular/doc/6zydJ9jGUgoa/,sudact.ru,Решение № 2-375/2020 2-375/2020~М-107/2020... :: СудАкт.ру,"В процессе пользования товаром потребитель обнаружил следующие недостатки: вышел из строя и перестал определяться ноутбуком установленный жесткий диск HDD. В связи с чем, 16.01.2019 года, руководствуясь положениями статьи 18 Закона РФ «О защите прав потребителей», потребитель направил ответчику претензию с требованием соразмерного уменьшения покупной цены, претензия была получена ответчиком 25 января 2019 года, но ответа не последовало."
t2g2Kh4epVJ6,https://sudact.ru/regular/doc/t2g2Kh4epVJ6/,sudact.ru,Решение № 2-268/2021 2-268/2021~М-6/2021 М-6/2021... :: СудАкт.ру,"прав потребителей» потребитель вправе потребовать представления необходимой и достоверной информации об изготовителе (исполнителе, продавце), режиме его работы и реализуемых им товарах (работах, услугах). П.1 ст. 10 Закона о защите прав потребителей предусмотрено, что по отдельным видам товаров (работ, услуг) перечень и способы доведения информации до Потребителя устанавливаются Правительством РФ."
37i0sRTiFB6Q,https://sudact.ru/regular/doc/37i0sRTiFB6Q/,sudact.ru,Решение № 2-3871/2020 2-3871/2020~М-2833/2020... :: СудАкт.ру,"14.8 КоАП РФ ""Нарушение иных прав потребителей"" за нарушение прав потребителей (получение недостоверной информации). В судебное заседание ФИО1 и ее представитель Лапа О.И., действующая на основании доверенности, не явились, просили рассматривать дело без их участия. ПАО «Иркутскэнерго» в судебное заседания представителя не направило, извещено, представило письменный отзыв на исковое заявление."
lpuLB7g2UNH2,https://sudact.ru/regular/doc/lpuLB7g2UNH2/,sudact.ru,Решение № 2-1647/2019 2-45/2020 2-45/2020... :: СудАкт.ру,"В силу требований статьи 22 Закона о защите прав потребителя требование потребителя о возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, причиненных потребителю вследствие продажи товара ненадлежащего качества либо предоставления ненадлежащей информации о товаре, подлежат удовлетворению продавцом в течение 10 дней со дня предъявления соответствующего требования."
1MuNOiJg9Zgs,https://sudact.ru/regular/doc/1MuNOiJg9Zgs/,sudact.ru,Решение № 2-3852/2023 2-505/2024 2-505/2024... :: СудАкт.ру,"защите прав потребителей. В обоснование иска указала, что ДД.ММ.ГГГГ приобрела у ответчика ювелирные изделия – 15 обручальных колец, уплатив по договору купли-продажи общую стоимость товаров в размере 190 963 рублей. | При рассмотрении требований потребителя о возмещении убытков, причиненных недостоверной или недостаточно полной информацией о товаре, необходимо исходить из предположения об отсутствии у потребителя специальных познаний о свойствах и характеристиках товара."
HZZImaYBl1oQ,https://sudact.ru/regular/doc/HZZImaYBl1oQ/,sudact.ru,Решение № 2-137/2020 2-137/2020~М-34/2020... :: СудАкт.ру,"Из положений пункта 4 статьи 12 Закона РФ от 07 февраля 1992 года N 2300-1 «О защите прав потребителей» следует, что при рассмотрении требований потребителя о возмещении убытков, причиненных недостоверной или недостаточно полной информацией о товаре (работе, услуге), необходимо исходить из предположения об отсутствии у потребителя специальных познаний о свойствах и характеристиках товара (работы, услуги)."
xH2f1YwFggYm,https://sudact.ru/regular/doc/xH2f1YwFggYm/,sudact.ru,Решение № 2-208/2021 от 15 июля 2021 г. по делу... :: СудАкт.ру,"Пунктом 6 статьи 18 Закона о защите прав потребителей установлено, что продавец (изготовитель), уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер отвечает за недостатки товара, на который не установлен гарантийный срок, если потребитель докажет, что они возникли до передачи товара потребителю или по причинам, возникшим до этого момента."
iuwDUUEqaxZT,https://sudact.ru/regular/doc/iuwDUUEqaxZT/,sudact.ru,Решение № 2-618/2020 2-618/2020~М-434/2020... :: СудАкт.ру,"Согласно пункту 4 статьи 12 названного Закона при рассмотрении требований потребителя о возмещении убытков, причиненных недостоверной или недостаточно полной информацией о товаре, необходимо исходить из предположения об отсутствии у потребителя специальных познаний о свойствах и характеристиках товара. Аналогичные положения приведены в пункте 44 постановления Пленума Верховного суда РФ от 28.06.2012 №17 «О рассмотрении судами гражданских дел по спорам о защите прав потребителей»."
fVJm3HMVkt5H,https://sudact.ru/regular/doc/fVJm3HMVkt5H/,sudact.ru,Решение № 2-547/2020 2-547/2020~М-520/2020... :: СудАкт.ру,"Согласно ст.12 Закона РФ от 07 февраля 1992 года №2300-1 «О защите прав потребителей», если потребителю не предоставлена возможность незамедлительно получить при заключении договора информацию о товаре (работе, услуге), он вправе потребовать от продавца (исполнителя) возмещения убытков, причиненных необоснованным уклонением от заключения договора, а если договор заключен, в разумный срок отказаться от его исполнения и потребовать возврата уплаченной."
bC8RZAaMy2lP,https://sudact.ru/regular/doc/bC8RZAaMy2lP/,sudact.ru,Решение № 2-1524/2021 2-1524/2021~М-1036/2021... :: СудАкт.ру,"Согласно ст. 10 Закона «О защите прав потребителя», изготовитель исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность для правильного выбора. | В соответствии с пунктом 12 части 3 статьи 5 ФЗ «О рекламе» недостоверной признается реклама, которая содержит не соответствующие действительности сведения о предоставлении дополнительных прав или преимуществ приобретателю рекламируемого товара."
hGeBUQ3DtW1C,https://sudact.ru/regular/doc/hGeBUQ3DtW1C/,sudact.ru,Решение № 2-1947/2018 2-58/2019 2-58/2019... :: СудАкт.ру,"В соответствии с пунктом 1 статьи 10 Закона РФ от 07 февраля 1992 года N 2300-1 ""О защите прав потребителей"" изготовитель (исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора."
